,fr_w,nmot_w,rl_w,nearest_rpm,nearest_load,weight
2267,1.02811,790.0,20.4375,1000.0,17.5,0.004674262342973999
2268,1.02802,792.25,20.3672,1000.0,17.5,0.00472551380511603
2269,1.02759,787.5,20.3672,1000.0,17.5,0.00462177261618212
2270,1.02747,792.0,20.3906,1000.0,17.5,0.004719416529095675
2271,1.02701,800.25,20.2734,1000.0,17.5,0.0049134399287747745
2272,1.02588,798.25,20.1797,1000.0,17.5,0.004867845301823446
2273,0.974915,796.0,20.2266,1000.0,17.5,0.004814019966629213
2274,0.974305,798.25,20.1563,1000.0,17.5,0.004868399849469077
2275,0.974274,793.0,20.2266,1000.0,17.5,0.004745485382481376
2276,0.974274,794.0,20.2734,1000.0,17.5,0.004767048634383577
2277,0.974854,798.0,20.2266,1000.0,17.5,0.004860820137016798
2278,0.975312,798.5,20.1563,1000.0,17.5,0.004874332399248768
2279,1.02615,798.25,20.2031,1000.0,17.5,0.004867290880497787
2280,1.02603,798.75,20.2266,1000.0,17.5,0.0048786056554748205
2281,1.02673,786.75,20.3906,1000.0,17.5,0.004605311028890958
2282,1.02676,787.75,20.4375,1000.0,17.5,0.004625614339404453
2283,1.02536,794.5,20.3906,1000.0,17.5,0.004775763572958862
2284,1.02405,797.75,20.3672,1000.0,17.5,0.004851608696411556
2285,0.972901,797.75,20.3203,1000.0,17.5,0.004852712884874725
2286,0.972901,802.25,20.2969,1000.0,17.5,0.004961624316722311
2287,0.972993,800.25,20.3203,1000.0,17.5,0.00491230793490013
2288,0.97345,798.0,20.3672,1000.0,17.5,0.004857500369170028
2289,0.973542,802.25,20.3203,1000.0,17.5,0.004961048329044507
2290,0.974122,794.75,20.4141,1000.0,17.5,0.00478093516047926
2291,1.02438,792.25,20.4609,1000.0,17.5,0.0047234223651214935
2292,1.02481,796.25,20.4609,1000.0,17.5,0.00481438383830603
2293,1.02472,786.75,20.4609,1000.0,17.5,0.004603820526502123
2294,1.0239,787.0,20.5078,1000.0,17.5,0.0046081292930484526
2295,1.0231,789.75,20.5313,1000.0,17.5,0.004666762801980388
2296,1.02225,792.75,20.5781,1000.0,17.5,0.004731978378644392
2297,0.970643,800.75,20.4844,1000.0,17.5,0.0049204268568706876
2298,0.970246,806.25,20.5078,1000.0,17.5,0.005056690557843989
2299,0.970216,805.75,20.5078,1000.0,17.5,0.005043937741667667
2300,0.97049,809.25,20.4844,1000.0,17.5,0.0051351995333130665
2301,0.972169,811.25,20.4844,1000.0,17.5,0.005188487369146348
2302,0.972687,802.5,20.4375,1000.0,17.5,0.004964318957493019
2303,1.02304,798.75,20.4609,1000.0,17.5,0.004873035496652468
2304,1.02292,792.75,20.4609,1000.0,17.5,0.004734604132646563
2305,1.02258,785.5,20.5781,1000.0,17.5,0.0045750237558108515
2306,1.02149,792.5,20.5781,1000.0,17.5,0.004726387088266696
2307,1.01968,800.75,20.5781,1000.0,17.5,0.004918159369019825
2308,1.01947,802.0,20.5781,1000.0,17.5,0.004948581761210146
2309,0.969269,805.5,20.5547,1000.0,17.5,0.005036395512168687
2310,0.968537,809.5,20.5547,1000.0,17.5,0.005139942648519928
2311,0.968262,806.0,20.5313,1000.0,17.5,0.00504970678877531
